"","mod","A","B","sigma"
"739","RKL",5.333,8.322e-05,9.87248129598487
"740","BHL",47438.330170778,9772.29601518027,11.2182656421176
"741","RKL",5.327,0.0001022,10.9095958276896
"742","BHL",30883.2612723904,3116.12106238419,9.50014250320633
"743","RKL",6.208,0.0001035,9.91119705746911
"744","BHL",28280.5429864253,3181.56108597285,9.81998041897857
"745","RKL",4.139,5.211e-05,8.89460083706025
"746","BHL",27434.8422496571,3936.89986282579,9.79169429084317
"747","RKL",4.928,9.034e-05,9.73123680201904
"748","BHL",27434.8422496571,3396.43347050754,7.39827936030792
"749","RKL",4.815,8.718e-05,9.04986640233335
"750","BHL",26539.2781316348,2611.9957537155,10.1881816360323
"751","HSL",7.138,2502,11.0729003480879
"752","BHL",54466.2309368192,13159.0413943355,11.4034648990345
"753","RKL",5.498,8.321e-05,11.7753043513933
"754","BHL",48756.7040468064,12915.650901999,10.0095135589701
"755","HSL",6.176,3399,10.4223226733096
"756","BHL",32289.3122376493,4317.08104617372,9.28476690885259
"757","RKL",5.659,9.31e-05,9.93562696156851
"758","BHL",22967.3863114378,2019.29260450161,10.2062072615966
"759","RKL",5.868,0.0001086,11.3695105622006
"760","BHL",31675.641431739,4155.84415584416,9.41137393030256
"761","RKL",5.123,7.782e-05,10.9024613449489
"762","BHL",29368.5756240822,4666.66666666667,12.9153269951956
"763","RKL",4.98,7.411e-05,9.96518268464914
"764","BHL",131926.121372032,48192.6121372032,10.5444409335367
"765","HSL",5.178,4158,9.73584767022471
"766","RKL",3.975,6.082e-05,9.36585811581694
"767","BHL",44208.6648983201,11569.4076038904,9.36996865282231
"768","RKL",3.369,4.618e-05,8.68744485526139
"769","BHL",141643.059490085,52308.7818696884,10.6539841364425
"770","RKL",4.654,7.208e-05,8.8700736263517
"771","BHL",25853.1540847983,4046.01861427094,11.0634090952036
"772","RKL",3.897,4.627e-05,8.68089570630547
"773","BHL",22768.6703096539,2197.4043715847,8.86658627664886
"774","HSL",5.175,3724,9.62696244572596
"775","BHL",49701.7892644135,14681.9085487078,8.76720883788401
"776","RKL",4.345,6.694e-05,9.59588616582912
"777","BHL",26874.4961031981,3407.68610588551,10.6533795350099
"778","HSL",4.901,3919,11.3111750794782
"779","BHL",47938.6385426654,13451.5819750719,10.1550321385696
"780","RKL",5.597,8.944e-05,10.5809738922621
"781","BHL",22311.4680946006,1932.61936635431,9.81052448956459
"782","RKL",3.573,5.266e-05,10.4393461332415
"783","BHL",29180.0408520572,2516.19492267289,10.2901572327457
"784","RKL",4.579,6.668e-05,8.49411985729376
"785","BHL",75187.969924812,24172.9323308271,11.3278544940092
"786","RKL",3.704,4.971e-05,8.47579379526013
"787","BHL",27412.2807017544,3665.02192982456,11.6801390412027
"788","RKL",5.382,9.377e-05,8.66133677261612
"789","BHL",45537.3406193078,11133.8797814208,10.0060054054057
"790","RKL",5.544,9.826e-05,10.9790718772765
"791","BHL",174367.9163034,72990.4097646033,12.1527228339511
"792","HSL",5.358,3633,10.521071133234
"793","BHL",41407.867494824,8045.54865424431,10.5146716312752
"794","RKL",4.161,6.27e-05,11.6499803115499
"795","BHL",33795.2010814464,5245.01520784049,11.1111111111111
"796","HSL",9.581,2160,10.4223226733096
"797","BHL",28145.2293836195,3022.79763580073,10.3351237615227
"798","RKL",4.028,5.754e-05,9.28076743982841
"799","BHL",386100.386100386,160308.88030888,9.32504808240314
"800","RKL",4.343,6.181e-05,9.56510890297173
"801","BHL",38684.7195357834,7121.85686653772,11.5818030680536
"802","RKL",4.399,7.606e-05,10.073809201322
"803","BHL",23212.6276694522,927.576601671309,10.8798534972311
"804","RKL",5.636,0.0001057,10.6800797762218
"805","BHL",61500.6150061501,18819.1881918819,9.12870929175277
"806","HSL",9.699,1947,10.5268990133315
"807","BHL",81.9000819000819,466.502866502866,20.9564871153977
"808","RKL",5.06,9.347e-05,9.8772959664959
"809","BHL",58823.5294117647,16158.8235294118,8.0582296402538
"810","HSL",5.391,3287,9.61805271457542
"811","BHL",23775.5587256301,2800.76081787922,9.21747075963672
"812","RKL",5.778,1e-04,10.4093276056972
"813","BHL",55157.1980143409,13232.2118036404,11.9574117970003
"814","RKL",4.595,6.877e-05,9.23317344693081
"815","BHL",51519.8351365276,11494.0752189593,9.67641249645229
"816","RKL",5.881,9.049e-05,8.99114807657189
"817","BHL",41806.0200668896,6747.49163879599,9.75435690303658
"818","RKL",5.34,8.966e-05,10.6358907452879
"819","BHL",39968.0255795364,7078.33733013589,8.54981960070962
"820","RKL",5.392,9.018e-05,9.98503366584589
"821","BHL",53361.7929562433,11035.2187833511,9.79639167383865
"822","RKL",7.584,0.0001372,9.98005980069749
"823","BHL",26357.4064312072,3732.20875065894,9.36996865282231
"824","HSL",5.357,3523,9.88694647780276
"825","BHL",45892.6112895824,8444.24047728316,7.9757903402837
"826","RKL",7.663,0.0001397,11.3592366849413
"827","BHL",21249.4687632809,1265.19337016575,12.0912708351669
"828","HSL",7.208,2919,11.4094011122939
"829","BHL",24630.5418719212,3532.0197044335,9.99500374687773
"830","RKL",4.774,7.978e-05,9.47452409476392
"831","BHL",57339.4495412844,18102.0642201835,8.13519126161178
"832","RKL",5.769,8.521e-05,10.4308239847151
"833","BHL",27662.5172890733,2564.0387275242,9.56948752938691
"834","RKL",7.265,0.0001103,10
"835","BHL",27285.1296043656,3126.8758526603,10.601765765118
"836","RKL",3.687,5.49e-05,10.7118949331081
"837","BHL",49751.2437810945,10169.1542288557,9.85807941917649
"838","RKL",3.25,3.43e-05,9.89662533129804
"839","BHL",41425.0207125104,9047.22452361226,10.325202569555
"840","RKL",6.484,0.0001232,10.3517228253179
"841","BHL",39154.2678151919,7012.52936570086,9.51302988308988
"842","HSL",5.71,3252,11.2324104789579
"843","BHL",43140.6384814495,10336.4969801553,9.78700365857839
"844","RKL",5.922,0.0001043,9.96518268464914
"845","BHL",128965.695125097,42262.0582924942,11.6051770637132
"846","RKL",3.379,4.62e-05,10.6154959216414
"847","BHL",27555.8004960044,2469.82639845687,8.50332757799973
"848","RKL",4.567,7.859e-05,9.11731975607399
"849","BHL",57208.23798627,18077.8032036613,12.0648417962749
"850","RKL",2.939,1.969e-05,12.8649955265202
"851","BHL",53447.3543559594,14452.1646178514,10.5910575089894
"852","RKL",6.266,0.000101,9.06100470365937
"853","BHL",22644.9275362319,927.309782608696,9.81998041897857
"854","RKL",3.165,3.314e-05,8.12444463702387
"855","BHL",56947.6082004556,14447.6082004556,8.33333333333333
"856","HSL",7.572,2301,9.65384094134469
"857","BHL",27909.5729835334,7987.71978788725,11.2380834139049
"858","RKL",7.205,0.0001293,11.3010583936802
"859","BHL",38431.9754035357,9973.09761721753,10.2988851030448
"860","HSL",4.795,4057,9.8628730394059
"861","BHL",50709.939148073,11759.6348884381,10.0534251067784
"862","RKL",5.579,8.617e-05,9.78231976089037
"863","BHL",22836.2639872117,1326.33021237725,9.17856188708667
"864","RKL",5.563,0.0001049,12.9164043048688
"865","BHL",30156.8154402895,3091.07358262967,10.3263035134798
"866","RKL",3.374,4.815e-05,9.44911182523068
"867","BHL",32404.4069993519,3600.129617628,9.04616275314925
"868","RKL",5.405,8.183e-05,9.47452409476392
"869","BHL",29222.6767971946,2977.79076563413,12.6178570616619
"870","RKL",3.223,3.814e-05,8.41257441875115
"871","BHL",43196.5442764579,9900.64794816415,8.65160675257478
"872","RKL",4.234,8.109e-05,10.3806849817175
"873","RKL",4.685,7.565e-05,9.74046509883157
"874","BHL",34770.5146036161,4572.32267037552,9.35765324510861
"875","RKL",6.092,0.0001249,12.133027800578
"876","BHL",46685.3408029879,11605.9757236228,9.66285059420747
"877","RKL",5.166,7.725e-05,10.0240867470578
"878","BHL",144029.958231312,54486.5331989054,11.4459638203499
"879","RKL",5.125,8.024e-05,9.48304052263602
"880","BHL",20533.8809034908,737.987679671458,12.8015895440428
"881","RKL",4.686,7.752e-05,9.44911182523068
"882","BHL",36258.1580855693,6907.17911530094,8.46061235051819
"883","HSL",7.622,2668,10.9770872892066
