"","mod","A","B","sigma"
"137","HSL",4.06,2742,7.5442160863424
"138","RKL",10.16,0.0002633,6.24268863075902
"139","HSL",5.303,2195,6.87289281487645
"140","RKL",11.55,0.0003638,7.08347475828632
"141","HSL",6.377,2122,5.61833218719368
"142","RKL",7.556,0.0002466,7.93301090706453
"143","HSL",6.005,2062,5.23926559026513
"144","RKL",10.3,0.0003031,5.57278212575353
"145","HSL",5.077,1849,6.68153104781061
"146","RKL",9.242,0.0002624,6.70552225982275
"147","HSL",5.175,1890,5.50732272333947
"148","RKL",10.87,0.0002804,7.47853004494263
"149","HSL",7.532,2780,11.3256747330139
"150","RKL",6.591,0.000191,5.10376822722369
"151","HSL",4.25,2774,6.89737191225097
"152","RKL",5.366,0.0001702,6.92543361064444
"153","HSL",4.354,2596,6.56673704057571
"154","RKL",11.98,0.0004044,6.35513352593568
"155","HSL",6.989,2054,6.29940788348712
"156","RKL",10.47,0.00035,8.50332757799973
"157","HSL",3.383,3259,5.45382433536534
"158","RKL",16.23,0.0003983,7.00483500480586
"159","HSL",3.696,3710,9.96518268464914
"160","RKL",8.953,0.0002633,5.88133549709013
"161","HSL",4.908,2300,5.71661950475029
"162","RKL",4.026,0.0001243,5.76677870345013
"163","HSL",6.333,2000,5.09713392281113
"164","RKL",9.039,0.0002759,10.2868899974728
"165","HSL",4.34,2527,7.01516916582892
"166","RKL",7.133,0.0002063,8.1813448945636
"167","HSL",4.648,2508,6.74199862463242
"168","RKL",13.48,0.0004256,5.03473360355924
"169","HSL",4.452,2420,9.64934555533081
"170","RKL",9.172,0.0002365,6.32708666137081
"171","HSL",3.719,2980,6.63431115542844
"172","RKL",15.6,0.0003607,8.21717376182379
"173","HSL",3.803,2427,6.71307267574896
"174","RKL",8.91,0.0002462,5.02455470286978
"175","HSL",3.19,2287,7.12832435640251
"176","RKL",8.003,0.0002448,4.73354550611704
"177","HSL",4.571,2663,8.23107997207991
"178","RKL",13.51,0.0004078,9.80109582377307
"179","RKL",22.61,0.0005203,6.06897129034405
"180","HSL",4.702,2232,6.4202893561212
"181","RKL",14.68,0.0003941,7.51221728771726
"182","HSL",5.039,1806,5.21711516945376
"183","RKL",17.38,0.0003846,7.30686546807177
"184","HSL",3.426,1822,5.64962734874611
"185","RKL",3.774,7.818e-05,8.12444463702387
"186","HSL",6.359,2177,5.91622769064075
"187","RKL",7.808,0.0002671,5.31869750409142
"188","HSL",6.954,2642,11.5170997513516
"189","RKL",10.33,0.0003447,5.19454236409418
"190","HSL",4.621,2837,5.66501775702599
"191","RKL",13.54,0.0003162,5.70173244951723
"192","HSL",5.611,2296,6.37965835292461
"193","RKL",5.488,0.0001613,7.23385262202619
"194","HSL",5.401,2541,7.87377166440497
"195","RKL",6.027,0.0001919,6.58807845868412
"196","HSL",3.826,2713,8.04778474974563
"197","RKL",8.94,0.0002557,6.11532156276397
"198","HSL",5.014,2509,5.14616855995386
"199","RKL",8.76,0.000286,5.9943679399617
"200","HSL",5.467,2703,7.72436865521826
"201","RKL",14.5,0.0003909,6.44424077783084
"202","HSL",5.357,2819,8.40069224556273
"203","RKL",20.31,0.000429,9.90633266598225
"204","HSL",4.037,3054,6.90558992054201
"205","RKL",10.53,0.0002886,7.75683387219414
"206","HSL",2.082,4060,8.9051749650308
"207","RKL",12.51,0.000356,5.67047977123743
"208","HSL",5.169,2599,5.47257586085932
"209","RKL",5.905,0.000166,7.50586625040802
"210","HSL",4.249,3332,7.64942813100573
"211","RKL",10.05,0.0002439,8.47883990274221
"212","HSL",7.148,1806,5.96762395032861
"213","RKL",10.64,0.0003412,7.03249487551076
"214","HSL",6.001,1839,6.81994339470473
"215","RKL",16.93,0.0003877,9.98005980069749
"216","HSL",5.283,2058,5.60068108423228
"217","RKL",10.41,0.0002622,5.82222509739582
"218","HSL",4.623,2318,6.82788741998919
"219","RKL",13.88,0.0003537,6.03571640283457
"220","HSL",2.165,2100,9.19795460231938
"221","RKL",19.28,0.0004657,7.6945845334682
"222","HSL",5.915,1926,4.59073148804889
"223","RKL",13.4,0.0003779,7.07814950398772
"224","HSL",4.211,2411,5.00814485847817
"225","RKL",14.74,0.0004013,7.31076975126145
"226","HSL",3.674,3507,5.54529597975392
"227","RKL",8.192,0.0003012,7.40842372179888
"228","HSL",4.044,2453,8.06871530459879
"229","RKL",14.21,0.0003628,5.45301341805577
"230","HSL",3.283,3218,6.23297993338971
"231","RKL",5.5,0.0001611,6.8990131667447
"232","HSL",3.525,3192,5.85205735980653
"233","RKL",4.626,0.0001189,6.48476249830151
"234","HSL",5.456,2458,8.76047777444422
"235","RKL",11.84,0.0003162,8.25910552123619
"236","HSL",5.827,3012,9.93072652873697
"237","RKL",7.249,0.0002288,5.18754822821162
"238","HSL",3.053,3239,5.73917035958485
"239","RKL",22.06,0.000547,6.29441429738051
"240","HSL",5.771,1861,6.396603026469
"241","RKL",7.197,0.0002435,5.3644178078582
"242","HSL",7.079,1847,6.7806350362081
"243","RKL",13.81,0.0003714,8.71710054693008
"244","HSL",5.039,2053,6.51773607952784
"245","RKL",11.69,0.0003195,5.37525659063806
"246","HSL",4.344,2924,5.80258853185659
"247","RKL",6.303,0.0002293,7.8518966584133
"248","HSL",5.083,1969,7.30102075405711
"249","RKL",17.36,0.0003998,8.86658627664886
"250","HSL",4.71,3007,9.63589698356145
"251","RKL",9.381,0.0002626,7.39221270954573
"252","HSL",4.242,2412,5.34446139829055
"253","RKL",21.04,0.0004567,6.08806144979308
"254","HSL",4.782,2494,7.07283624200738
"255","RKL",12.56,0.0003644,7.12109114869856
"256","HSL",4.991,3038,9.63589698356145
"257","RKL",13.18,0.0003433,4.70464530781364
"258","HSL",4.179,1849,10.4059455746536
"259","RKL",4.447,0.0001748,7.69003287111576
"260","HSL",3.508,3226,6.13485387488896
"261","RKL",11.82,0.0002964,9.23317344693081
"262","HSL",6.778,1956,7.49110958292491
"263","RKL",7.221,0.000265,5.8510555524963
"264","HSL",6.166,2039,6.09144903873173
"265","RKL",7.94,0.0002301,5.96125848297
"266","HSL",5.618,1980,6.23419104385162
"267","RKL",15.4,0.0004247,5.11176369148921
"268","HSL",4.662,2059,6.42824346533225
"269","RKL",20.18,0.0005578,7.00827464901256
"270","HSL",6.072,1889,6.46981593312015
"271","RKL",13.23,0.0003179,5.09978453865477
"272","HSL",4.955,2725,6.05338410664176
"273","RKL",14.15,0.0004267,6.33088937832918
"274","HSL",5.667,2436,5.52410314834278
"275","RKL",18.31,0.0004017,8.75041018509136
"276","HSL",6.237,2181,6.88102353203975
"277","RKL",27.61,0.0005372,7.28743744786593
"278","HSL",7,2311,6.92377343236081
"279","RKL",25.8,0.0005818,9.28476690885259
"280","HSL",5.131,2209,6.6711155604996
